evidence_id,evidence_type,evidence_name,description,mandatory_or_optional,collection_difficulty,legal_weight,evidence_source,tamper_risk,storage_requirements,embedding_text
EVID_001,Documentary,First Information Report (FIR),Official police complaint documenting the criminal incident with date time and details,Mandatory,Easy,High,Police Station,Low,"Keep certified copy with acknowledgement number, maintain digital scan",FIR police complaint criminal incident documentation
EVID_002,Documentary,Medical Examination Report,Medical documentation of injuries or physical harm from government or registered hospital,Mandatory,Medium,High,Hospital/Doctor,Low,"Obtain from government hospital, keep original sealed in envelope",Medical report injury documentation physical harm certificate
EVID_003,Documentary,Rent Agreement,Legally valid rental contract signed between landlord and tenant with witness signatures,Mandatory,Easy,High,User,Medium,"Original notarized copy, digital backup with timestamps",Rent agreement lease contract landlord tenant documentation
EVID_004,Digital,Bank Statements,Official bank account statements showing financial transactions and balances,Mandatory,Easy,High,Bank,Low,"Bank-certified statements, password protected digital copies",Bank statement financial transaction records account balance
EVID_005,Documentary,Title Deed,Legal ownership document of immovable property registered with sub-registrar,Mandatory,Medium,High,Registration Office,Low,"Original registered deed, encumbrance certificate, digital certified copy",Title deed property ownership registration document
EVID_006,Digital,CCTV Footage,Video recording from surveillance cameras showing the incident or crime,Optional,Hard,High,Third-party/User,High,"Original digital file with metadata, certified copy from source, chain of custody",CCTV footage surveillance video recording evidence
EVID_007,Documentary,Identity Proof,Government-issued identification like Aadhaar PAN Passport Driving License,Mandatory,Easy,High,Government,Low,"Original and certified copies, avoid sharing full documents unnecessarily",Identity proof Aadhaar PAN passport government ID
EVID_008,Documentary,Sale Deed,Legal document evidencing sale and transfer of property ownership,Mandatory,Easy,High,Registration Office,Low,"Registered original deed, mutation records, encumbrance certificate",Sale deed property transfer registration document
EVID_009,Testimonial,Eyewitness Statement,Written or recorded statement from person who witnessed the incident,Optional,Medium,Medium,Third-party,Medium,"Notarized written statement, audio/video recording with consent, court deposition",Eyewitness statement witness testimony incident observation
EVID_010,Digital,WhatsApp Chat Screenshots,Screenshots of text conversations showing threats harassment or agreements,Optional,Easy,Medium,User,High,"Screenshots with date/time/phone visible, original phone for verification, certified printouts",WhatsApp chat messages screenshots conversation evidence
EVID_011,Documentary,Employment Contract,Written agreement between employer and employee detailing terms of employment,Mandatory,Easy,High,User,Low,"Original signed contract, appointment letter, offer letter copies",Employment contract appointment letter job agreement
EVID_012,Documentary,Invoice/Bill,Commercial document showing purchase transaction with GST details,Mandatory,Easy,High,Seller,Medium,"Original bills with GST number, digital copies, warranty cards",Invoice bill receipt purchase transaction proof
EVID_013,Digital,Email Correspondence,Email exchanges showing agreements threats or fraudulent communications,Optional,Easy,Medium,User,Medium,"Original emails with full headers, forwarded to secure account, printouts",Email correspondence digital communication evidence
EVID_014,Documentary,Cheque Copy,Physical cheque or scanned copy showing payment details and signatures,Mandatory,Easy,High,User/Bank,Low,"Original returned cheque, bank memo, cheque return reason from bank",Cheque payment instrument dishonored bounced cheque
EVID_015,Documentary,Legal Notice,Formal legal communication sent through registered post with acknowledgement,Mandatory,Easy,High,Lawyer,Low,"Original sent notice, postal receipt, acknowledgement of delivery",Legal notice formal communication lawyer notice
EVID_016,Documentary,Marriage Certificate,Official certificate of marriage registered with competent authority,Mandatory,Medium,High,Marriage Registrar,Low,"Original registered certificate, wedding invitation, photos as supporting evidence",Marriage certificate registration document proof of marriage
EVID_017,Physical,Weapon or Instrument,Physical object used to commit crime like knife gun or blunt object,Optional,Hard,High,Police/Crime Scene,High,"Police custody with seizure memo, forensic examination, chain of custody maintained",Weapon crime instrument physical evidence knife gun
EVID_018,Documentary,Death Certificate,Official certificate issued by municipal authority documenting death,Mandatory,Easy,High,Municipality,Low,"Original certificate, post-mortem report if applicable, hospital records",Death certificate mortality documentation official record
