action_id,action_name,action_type,authority_involved,prerequisites,time_limit_days,cost_estimate_min,cost_estimate_max,online_possible,risk_level,procedure_steps,embedding_text
ACTION_001,File FIR (First Information Report),Criminal,Police,Cognizable offence occurred; Complainant has knowledge of the incident,No limit (immediate reporting recommended),0,500,Yes,Low,"[""Visit police station or use online portal"",""Provide detailed incident description with date time location"",""Include suspect details if known"",""Mention witnesses if any"",""Obtain FIR copy with number and date"",""Insist on FIR registration as it is mandatory for cognizable offences""]",File FIR first information report police complaint criminal case registration immediate
ACTION_002,File Non-Cognizable (NC) Complaint,Criminal,Police,Non-cognizable offence; Magistrate permission may be needed,No specific limit,0,300,Yes,Low,"[""Submit written complaint at police station"",""Describe the incident in detail"",""Police will record the complaint"",""Magistrate permission required for investigation"",""Obtain complaint receipt and number""]",File NC complaint non-cognizable police permission magistrate
ACTION_003,Send Legal Notice,Civil/Criminal,Lawyer,Dispute or grievance exists; Attempt at settlement before litigation,Varies by case (typically 30-90 days before filing suit),2000,10000,No,Low,"[""Consult and hire a lawyer"",""Draft detailed legal notice stating facts and demands"",""Send through registered post AD or courier"",""Retain proof of dispatch and delivery"",""Wait for response period (usually 15-30 days)"",""Proceed with legal action if no satisfactory response""]",Send legal notice lawyer formal demand pre-litigation settlement attempt
ACTION_004,File Civil Suit,Civil,Civil Court,Cause of action exists; Legal notice sent if required; Court fee paid,Limitation period varies (1-3 years for most civil cases),5000,100000,Partial,Medium,"[""Consult lawyer and prepare plaint"",""Pay court fees based on suit valuation"",""File plaint with required documents and vakalatnama"",""Court assigns case number and judge"",""Serve summons to defendant"",""Attend hearings and follow court directions""]",File civil suit court litigation plaint plaintiff civil case
ACTION_005,File Criminal Complaint in Court,Criminal,Magistrate Court,Private complaint for non-cognizable or compoundable offence; Evidence available,Limitation period under CrPC Section 468,3000,50000,Partial,Medium,"[""Draft complaint petition with facts and sections"",""Attach supporting documents and affidavit"",""File before appropriate Magistrate"",""Magistrate may examine complainant on oath"",""Court issues process if satisfied"",""Attend trial proceedings""]",File criminal complaint magistrate court private prosecution criminal case
ACTION_006,File Consumer Complaint,Consumer,Consumer Forum,Defective goods or deficient services; Complaint value under jurisdiction,2 years from cause of action,1000,25000,Yes,Low,"[""Determine appropriate forum based on claim value"",""Draft consumer complaint with facts"",""Attach bills invoices and correspondence"",""Pay nominal court fee"",""File physically or online through eDaakhil"",""Attend hearings and present evidence""]",File consumer complaint consumer forum defective goods deficient services
ACTION_007,File Domestic Violence Complaint,Family,Magistrate/Police,Woman in domestic relationship subjected to violence,No specific limitation,1000,15000,Partial,Low,"[""File complaint under Protection of Women from Domestic Violence Act"",""Can approach Magistrate or Protection Officer"",""Describe acts of domestic violence"",""Request protection order residence order monetary relief"",""Court may grant ex-parte interim orders"",""Violation of protection order is punishable""]",File domestic violence complaint protection order DV Act magistrate
ACTION_008,File Anticipatory Bail Application,Criminal,Sessions Court/High Court,Reasonable apprehension of arrest in non-bailable offence; No FIR yet or immediately after FIR,Before arrest or immediately after FIR,10000,100000,No,High,"[""Engage senior criminal lawyer"",""Draft anticipatory bail application under CrPC Section 438"",""File before Sessions Court or High Court"",""State reasons why custodial interrogation not required"",""Attend hearing and argue for bail"",""If granted comply with bail conditions""]",File anticipatory bail application pre-arrest bail CrPC 438 sessions court
ACTION_009,File Regular Bail Application,Criminal,Magistrate/Sessions Court,Person arrested and in custody; Bailable or non-bailable offence,After arrest and judicial remand,5000,75000,No,Medium,"[""Hire criminal defense lawyer"",""File bail application before appropriate court"",""Provide surety as per court requirements"",""Argue that accused not a flight risk and will cooperate"",""If granted execute bail bonds with sureties"",""Comply with bail conditions strictly""]",File regular bail application post-arrest bail criminal defense custody
ACTION_010,File Petition for Divorce,Family,Family Court,Marriage breakdown; Grounds under personal law; Mediation attempted,No limitation for divorce,15000,200000,Partial,High,"[""Consult family lawyer and attempt mediation"",""Prepare divorce petition with grounds (cruelty desertion adultery)"",""File before Family Court with jurisdiction"",""Pay court fees and attach marriage certificate"",""Serve notice on spouse"",""Attend counseling and mediation if directed"",""Trial and evidence if contested""]",File divorce petition family court marriage dissolution mutual consent contested
