section_id,section_number,act_name,chapter_name,section_title,full_text,layman_explanation,category,severity_level,punishment_summary,max_punishment_years,cognizable,bailable,applicable_states,is_compoundable,embedding_text
IPC_493,Section 493,Indian Penal Code 1860,Offences Relating to Marriage,Cohabitation caused by deceitful belief of lawful marriage,"Every man who by deceit causes any woman who is not lawfully married to him to believe that she is lawfully married to him and to cohabit or have sexual intercourse with him in that belief, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",This section applies when a man deceives a woman into believing she is legally married to him and lives with or has sexual relations with her based on that false belief. It protects women from fraudulent marital relationships.,Criminal,Severe,Imprisonment and Fine,10,Yes,No,All India,No,IPC 493 deceitful marriage cohabitation explanation
IPC_494,Section 494,Indian Penal Code 1860,Offences Relating to Marriage,Marrying again during lifetime of husband or wife,"Whoever, having a husband or wife living, marries again during the life of such spouse, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.","This section deals with bigamy. It applies when a person marries again while their lawful spouse is still alive, except in specific legal exceptions such as a spouse being missing for seven years.",Criminal,Severe,Imprisonment and Fine,7,Yes,No,All India,No,IPC 494 bigamy second marriage punishment explanation
IPC_495,Section 495,Indian Penal Code 1860,Offences Relating to Marriage,Same offence with concealment of former marriage,Whoever commits the offence of bigamy having concealed from the person with whom the subsequent marriage is contracted the fact of the former marriage shall be punished with imprisonment which may extend to ten years and fine.,"This section applies when a person commits bigamy and hides the fact of their previous marriage from the new spouse, making the offence more serious due to deliberate concealment.",Criminal,Severe,Imprisonment and Fine,10,Yes,No,All India,No,IPC 495 concealment of previous marriage explanation
IPC_496,Section 496,Indian Penal Code 1860,Offences Relating to Marriage,Marriage ceremony fraudulently gone through without lawful marriage,Whoever dishonestly or fraudulently goes through a marriage ceremony knowing that it does not result in a lawful marriage shall be punished with imprisonment which may extend to seven years and fine.,"This section punishes fake or sham marriage ceremonies performed with fraudulent intent, where the person knows the marriage is not legally valid.",Criminal,Moderate,Imprisonment and Fine,7,Yes,Yes,All India,Yes,IPC 496 fraudulent marriage ceremony explanation
IPC_497,Section 497,Indian Penal Code 1860,Offences Relating to Marriage,Adultery,Whoever has sexual intercourse with the wife of another man without the consent or connivance of that man shall be punished with imprisonment which may extend to five years or with fine or with both.,This section earlier criminalized adultery by a man with another man's wife. Note: This section has been struck down by the Supreme Court and is no longer in force.,Criminal,Moderate,Imprisonment or Fine,5,NA,NA,All India,NA,IPC 497 adultery explanation historical
IPC_498,Section 498,Indian Penal Code 1860,Offences Relating to Marriage,Enticing or detaining a married woman with criminal intent,Whoever takes or entices away or detains a married woman with intent that she may have illicit intercourse shall be punished with imprisonment which may extend to two years or fine or both.,"This section applies when a person unlawfully takes, entices, or keeps a married woman with the intention of illicit sexual relations.",Criminal,Minor,Imprisonment or Fine,2,Yes,Yes,All India,Yes,IPC 498 enticing married woman explanation
IPC_268,Section 268,Indian Penal Code 1860,Public Health Safety Decency and Morals,Public nuisance,"A person is guilty of a public nuisance who does any act or illegal omission which causes common injury, danger or annoyance to the public. A common nuisance is not excused on the ground that it causes some convenience or advantage.","This section defines public nuisance. It applies when an act or neglect causes harm, danger or inconvenience to the public at large, even if it benefits some people.",Criminal,Minor,Fine or Other Punishment,0,Yes,Yes,All India,Yes,IPC 268 public nuisance definition explanation
IPC_272,Section 272,Indian Penal Code 1860,Public Health Safety Decency and Morals,Adulteration of food or drink intended for sale,"Whoever adulterates any article of food or drink so as to make it noxious, intending to sell it or knowing it is likely to be sold, shall be punished with imprisonment up to six months or fine or both.",This section applies when food or drink is deliberately adulterated and made harmful for human consumption with the intention of selling it.,Criminal,Moderate,Imprisonment or Fine,0.5,Yes,Yes,All India,Yes,IPC 272 food adulteration explanation
IPC_273,Section 273,Indian Penal Code 1860,Public Health Safety Decency and Morals,Sale of noxious food or drink,"Whoever sells or offers for sale any food or drink which is noxious or unfit for consumption, knowing it to be harmful, shall be punished with imprisonment up to six months or fine or both.",This section punishes selling or offering harmful or spoiled food or drinks that are unsafe for human consumption.,Criminal,Moderate,Imprisonment or Fine,0.5,Yes,Yes,All India,Yes,IPC 273 sale of harmful food explanation
IPC_274,Section 274,Indian Penal Code 1860,Public Health Safety Decency and Morals,Adulteration of drugs,"Whoever adulterates any drug or medical preparation to reduce its effectiveness or make it harmful, intending that it be sold or used for medical purposes, shall be punished with imprisonment up to six months or fine or both.",This section applies when medicines or drugs are adulterated in a way that reduces their effectiveness or makes them dangerous.,Criminal,Moderate,Imprisonment or Fine,0.5,Yes,Yes,All India,Yes,IPC 274 adulteration of drugs explanation
