section_id,action_id,action_sequence,conditions_required
IPC_417,ACTION_001,Primary,Cheating is a cognizable offence; FIR must be registered when accused is identified
IPC_417,ACTION_003,Primary,Send legal notice when attempting civil recovery alongside or before criminal complaint
IPC_417,ACTION_005,Secondary,File private criminal complaint if police refuses to register FIR
IPC_417,ACTION_021,Alternative,File civil suit for recovery if criminal route is not viable or to supplement it
IPC_417,ACTION_027,Secondary,Seek police protection if accused is threatening to repeat fraud or cause harm
IPC_417,ACTION_001,Primary,Minor cheating where property not delivered; still cognizable hence FIR first
IPC_417,ACTION_005,Alternative,Private complaint if police refuses to register FIR for minor cheating
IPC_411,ACTION_001,Primary,Breach of trust is cognizable; FIR must be filed immediately on discovery
IPC_411,ACTION_003,Primary,Legal notice demanding return of entrusted property before or alongside criminal case
IPC_411,ACTION_021,Alternative,Civil suit for recovery of entrusted property if criminal proceedings are delayed
IPC_411,ACTION_005,Secondary,Private complaint before Magistrate if police refuses FIR registration
IPC_378,ACTION_001,Primary,Theft is cognizable; FIR is first and mandatory action immediately after theft
IPC_378,ACTION_027,Secondary,Apply for police protection if accused or their associates are threatening complainant
IPC_379,ACTION_001,Primary,Punishment section accompanies 378; FIR always filed for both sections together
IPC_379A,ACTION_001,Primary,Snatching is cognizable and FIR must be registered at nearest police station immediately
IPC_379A,ACTION_027,Secondary,Apply for police protection if accused has threatened to snatch or harm again
IPC_498A,ACTION_001,Primary,Domestic cruelty by husband is cognizable; FIR can be filed by wife or her relatives
IPC_498A,ACTION_007,Primary,File DV complaint under PWDVA simultaneously for civil reliefs including residence order
IPC_498A,ACTION_027,Secondary,Seek police protection or protection order from court during pendency of case
IPC_498A,ACTION_013,Secondary,Apply for restraining injunction against husband if there is immediate threat
IPC_498A,ACTION_008,Supporting,Husband may apply for anticipatory bail anticipating arrest under 498A
IPC_498A,ACTION_009,Supporting,If husband is arrested bail application to be filed by his counsel
IPC_304B,ACTION_001,Primary,Cognizable and non-bailable; FIR under 304B to be registered immediately
IPC_304B,ACTION_078,Supporting,If case involves false evidence or tampering file perjury complaint against witnesses
IPC_302,ACTION_001,Primary,Murder is cognizable non-bailable; FIR must be registered immediately
IPC_302,ACTION_005,Supporting,Private complaint where police has closed case or delayed investigation
IPC_302,ACTION_008,Supporting,Accused may apply for anticipatory bail in cases where arrest feared before FIR
IPC_302,ACTION_009,Supporting,Accused after arrest must file regular bail application though unlikely to succeed in murder
IPC_307,ACTION_001,Primary,Attempt to murder is cognizable non-bailable; FIR first mandatory action
IPC_307,ACTION_002,Secondary,NC complaint for minor incidents where attempt element is borderline
IPC_307,ACTION_027,Secondary,Immediate police protection for victim as accused likely to attempt again
