section_id,case_type_id,relevance_score,conditions,exceptions
IPC_417,CHEATING_01,0.95,When accused dishonestly induces victim to hand over money or property using false pretences,Does not apply when transaction is purely civil in nature with no fraudulent intent
IPC_417,CHEATING_01,1.0,Primary section for cheating involving delivery of property or alteration of documents,Does not apply to breach of civil contract without dishonest intent
IPC_417,CHEATING_02,0.95,When online or offline fraud involves inducing victim to part with money,Does not apply when victim voluntarily gave money knowing risks
IPC_417,CHEATING_02,1.0,Core section whenever cheating results in delivery of property or money loss,Does not apply to failed promises that are merely civil in nature
IPC_463,CHEATING_02,0.75,When cheating involved use of forged documents to deceive,Only applies if forgery element is separately proved
IPC_468,CHEATING_02,0.85,When forgery was committed specifically for purpose of cheating victim,Both forgery and cheating must be established
IPC_411,CRIMINAL_BREACH_TRUST_01,1.0,Primary section when property was entrusted and misappropriated,Does not apply where no trust relationship exists between parties
IPC_411,CRIMINAL_BREACH_TRUST_01,0.90,When breach involves public servant or banker or merchant in official capacity,Applies only to persons in specific fiduciary roles
IPC_417,CRIMINAL_BREACH_TRUST_01,0.80,Definition section that establishes what constitutes criminal breach of trust,Background section; not charged standalone
IPC_378,THEFT_01,1.0,Primary section whenever movable property is taken dishonestly without consent,Does not apply when taking was under bona fide claim of right
IPC_379,THEFT_01,0.95,Punishment section that always accompanies Section 378 charge,Applies alongside 378 always
IPC_378,THEFT_02,1.0,Core section for all theft scenarios involving movable property,Does not apply to property disputes where ownership itself is disputed
IPC_379,THEFT_02,0.95,Punishment always charged with 378 in theft cases,Applies alongside 378 always
IPC_379A,THEFT_02,0.70,Applies specifically to vehicle theft using criminal force,Only for theft of vehicles with force element
IPC_411,THEFT_01,0.60,When stolen property is found with another person who received it knowing it was stolen,Requires knowledge of property being stolen
IPC_411,THEFT_02,0.60,When stolen property found with a receiver or fence,Applies when receiver had knowledge of theft
IPC_354,ASSAULT_01,0.90,When accused made gesture or preparation with intention to cause apprehension of force,No actual physical contact needed; apprehension of force sufficient
