section_id,evidence_id,necessity_level,how_it_proves
IPC_417,EVID_001,Must-have,FIR is primary document establishing when and how cheating complaint was reported and establishes timeline
IPC_417,EVID_004,Must-have,Bank statements prove money was transferred to accused and trace the fraudulent transaction trail
IPC_417,EVID_007,Must-have,Identity proof establishes identity of complainant and links accused to fraudulent transaction
IPC_417,EVID_010,Good-to-have,WhatsApp conversations show false promises made by accused to induce victim to part with money
IPC_417,EVID_013,Good-to-have,Email correspondence documents written false representations and promises made by accused
IPC_417,EVID_009,Supporting,Eyewitness statements corroborate cheating transaction if any third party was present
IPC_417,EVID_053,Must-have,Payment app transaction records provide direct proof of money transfer to accused's account
IPC_417,EVID_044,Good-to-have,Affidavit from victim detailing circumstances of how they were deceived
IPC_411,EVID_001,Must-have,FIR establishes formal complaint of breach of trust and timestamp of reporting
IPC_411,EVID_041,Must-have,Promissory note or trust receipt proves that property was specifically entrusted to accused
IPC_411,EVID_004,Must-have,Bank statements show entrustment amount and trace misappropriation by accused
IPC_411,EVID_044,Good-to-have,Affidavit from complainant explaining terms of entrustment and subsequent misappropriation
IPC_411,EVID_009,Supporting,Eyewitness to the entrustment transaction corroborates that property was given to accused
IPC_411,EVID_013,Good-to-have,Email or written correspondence documenting the trust reposed and terms of entrustment
IPC_378,EVID_001,Must-have,FIR immediately after theft preserves details of stolen property and incident timing
IPC_378,EVID_007,Good-to-have,Identity proof of complainant establishes who owned the stolen property
IPC_378,EVID_006,Good-to-have,CCTV footage may capture the theft in progress and identify the perpetrator
IPC_378,EVID_009,Good-to-have,Eyewitness statement from person who saw the theft or thief
IPC_378,EVID_017,Good-to-have,Seized stolen property found with accused links accused directly to theft
IPC_378,EVID_012,Supporting,Purchase invoice or bill proves victim's ownership of stolen item before theft
IPC_498A,EVID_002,Must-have,Medical examination report documents physical injuries caused by domestic violence
IPC_498A,EVID_016,Must-have,Marriage certificate proves legal marital relationship making section applicable
IPC_498A,EVID_001,Must-have,FIR establishes formal complaint with specific allegations of cruelty against accused
IPC_498A,EVID_010,Good-to-have,WhatsApp messages showing abusive messages threats or harassment pattern from accused
IPC_498A,EVID_009,Good-to-have,Eyewitness testimony from neighbours family members or friends who witnessed cruelty
IPC_498A,EVID_039,Good-to-have,Audio recordings of abusive incidents captures actual threats and abusive language
IPC_498A,EVID_040,Good-to-have,Video recording of abuse incidents or its aftermath showing injuries
IPC_498A,EVID_044,Supporting,Victim's affidavit detailing history of cruelty incidents with dates and nature
IPC_304B,EVID_018,Must-have,Death certificate is primary proof that victim died within 7 years of marriage
IPC_304B,EVID_077,Must-have,Post-mortem report establishes unnatural cause of death and nature of injuries
IPC_304B,EVID_016,Must-have,Marriage certificate proves marriage occurred and establishes 7-year timeframe
IPC_304B,EVID_009,Must-have,Eyewitness statements from family and neighbours regarding dowry demands and harassment
IPC_304B,EVID_002,Good-to-have,Medical records of prior injuries showing pattern of violence before death
IPC_304B,EVID_010,Good-to-have,WhatsApp messages showing dowry demands made by accused or their family
IPC_304B,EVID_039,Supporting,Audio recordings of dowry demands or harassment if preserved by victim
IPC_302,EVID_018,Must-have,Death certificate establishes fact of death of victim
IPC_302,EVID_077,Must-have,Post-mortem report is critical evidence establishing cause and manner of death
IPC_302,EVID_001,Must-have,FIR establishes when and where murder was reported and initial facts on record
IPC_302,EVID_029,Must-have,Forensic evidence such as DNA fingerprints blood links accused to crime scene and victim
IPC_302,EVID_017,Good-to-have,Weapon or instrument used for murder establishes method and links to accused
IPC_302,EVID_006,Good-to-have,CCTV footage of accused near crime scene at time of murder
IPC_302,EVID_009,Good-to-have,Eyewitness testimony of persons who saw accused commit murder
IPC_302,EVID_019,Supporting,Call detail records establish accused's location and communications around time of murder
IPC_307,EVID_001,Must-have,FIR with specific allegations of attempt to murder documents the incident
IPC_307,EVID_002,Must-have,Medical examination report documents injuries to victim and severity of attack
IPC_307,EVID_017,Good-to-have,Weapon used in attack links accused directly to attempt to murder
IPC_307,EVID_029,Good-to-have,Forensic evidence links accused to crime scene and victim
IPC_307,EVID_009,Good-to-have,Eyewitness account of the attack establishes identity of attacker and nature of act
IPC_307,EVID_006,Supporting,CCTV footage capturing the attack attempt if available
IPC_499,EVID_025,Must-have,Social media posts screenshots capturing defamatory content with URL and timestamp
IPC_499,EVID_013,Must-have,Email correspondence containing defamatory statements with full headers
IPC_499,EVID_009,Good-to-have,Witness statements from persons who read or heard the defamatory statement
IPC_499,EVID_015,Good-to-have,Legal notice sent to accused demanding retraction prior to filing complaint
IPC_499,EVID_044,Supporting,Affidavit detailing how defamatory publication caused specific reputational and financial harm
IPC_500,EVID_025,Must-have,Social media posts or publications directly proving publication of defamatory matter
IPC_500,EVID_007,Good-to-have,Identity proof connecting accused to the defamatory publication or statement
IPC_465,EVID_005,Must-have,Original title deed or property document to compare with forged version
IPC_465,EVID_029,Must-have,Forensic handwriting examination report proving document is forged
IPC_465,EVID_007,Must-have,Identity proof to establish who the forger is and who signed the document
IPC_465,EVID_009,Good-to-have,Witness statement from person who was present when original document was executed
IPC_465,EVID_054,Good-to-have,Court orders related to property establishing authentic ownership chain
IPC_467,EVID_005,Must-have,Original property documents for comparison with alleged forged document
IPC_467,EVID_029,Must-have,Forensic document examination proving forgery of valuable security
IPC_467,EVID_049,Good-to-have,Encumbrance certificate showing chain of title to detect when forgery was inserted
